time,pressure
11.323,95.2827
11.421,95.3722
11.518,95.4245
11.616,95.4856
11.714,95.2862
11.812,95.0456
11.91,95.436
12.007,96.3273
12.105,96.4578
12.203,96.1656
12.301,95.8202
12.399,95.2891
12.497,94.5165
12.594,94.1519
12.692,94.3203
12.79,94.6486
12.888,94.7908
12.986,94.6363
13.083,94.247
13.181,92.3432
13.279,91.0817
13.377,91.7931
13.475,92.5711
13.573,93.1211
13.67,93.5594
13.768,94.1249
13.866,94.7765
13.964,95.2294
14.062,95.5488
14.16,95.8671
14.257,96.1308
14.355,96.42
14.453,96.8065
14.551,97.137
14.649,97.3965
14.747,97.6177
14.844,97.7963
14.942,97.9995
15.04,98.1713
15.138,98.2562
15.236,98.3963
15.334,98.5218
15.431,98.32
15.529,97.9795
15.627,97.8328
15.725,97.7591
15.823,97.6583
15.921,97.5851
16.018,97.5031
16.116,97.4002
16.214,97.2895
16.312,97.185
16.41,97.1056
16.508,97.0024
16.605,96.9922
16.703,97.0257
16.801,96.8919
16.899,96.7745
16.997,96.7347
17.095,96.6613
17.192,96.5371
17.29,96.4411
17.388,96.3932
17.486,96.3419
17.584,96.2752
17.682,96.1762
17.78,96.1475
17.877,96.0824
17.975,96.0245
18.073,96.0328
18.171,96.0431
18.269,95.9881
18.366,95.9038
18.464,95.8367
18.562,95.7309
18.66,95.6463
18.758,95.5568
18.856,95.5353
18.953,95.5293
19.051,95.5001
19.149,95.4138
19.247,95.3288
19.345,95.3603
19.442,95.3844
19.54,95.2541
19.638,95.202
19.736,95.173
19.834,95.1879
19.932,95.148
20.029,95.0384
20.127,94.9211
20.225,94.8971
20.323,94.9157
20.421,94.9204
20.519,94.8626
20.616,94.8624
20.714,94.8404
20.812,95.101
20.91,97.8728
21.008,104.1538
21.105,106.3952
21.203,104.0271
21.301,100.4261
21.399,97.2693
21.497,95.3004
21.595,94.3844
21.693,93.5003
21.79,92.5207
21.888,92.0898
21.986,92.1667
22.084,92.0585
22.182,91.7403
22.28,91.4018
22.377,90.8977
22.475,90.4665
22.573,90.2577
22.671,90.175
22.769,89.9195
22.867,89.7371
22.964,89.326
23.062,89.01
23.16,88.5878
23.258,88.3845
23.356,88.8105
23.454,89.3124
23.552,89.0792
23.649,88.5944
23.747,88.2231
23.845,87.9805
23.943,87.5669
24.041,87.1825
24.139,86.7071
24.236,85.9826
24.334,85.4131
24.432,85.2948
24.53,85.0965
24.628,85.0592
24.726,84.9406
24.823,84.728
24.921,84.631
25.019,84.6887
25.117,85.2055
25.215,85.2698
25.313,84.9763
25.411,84.908
25.509,84.6845
25.606,84.2694
25.704,83.9892
25.802,83.6033
25.9,82.7826
25.998,81.8986
26.096,80.9353
26.194,79.5526
26.291,79.0539
26.389,79.3542
26.487,79.6988
26.585,79.9687
26.683,80.1487
26.781,80.1245
26.879,80.0424
26.976,80.0076
27.074,80.087
27.172,80.1874
27.27,80.3153
27.368,80.2288
27.466,80.5496
27.563,80.8896
27.661,81.0159
27.759,81.0156
27.857,81.0841
27.955,81.2036
28.053,81.1945
28.151,81.2751
28.249,81.4393
28.346,81.5767
28.444,81.83
28.542,82.2455
28.64,82.9816
28.738,84.0853
28.836,84.7956
28.934,84.9557
29.032,84.9435
29.13,84.9888
29.227,85.0541
29.325,85.2618
29.423,85.4993
29.521,85.7323
29.619,85.9369
29.717,86.0698
29.815,86.169
29.912,86.1673
30.01,86.2082
30.108,86.4299
30.206,86.578
30.304,86.6355
30.402,86.6015
30.5,86.5366
30.597,86.6339
30.695,86.7408
30.793,86.7704
30.891,86.7844
30.989,86.6354
31.087,86.7513
31.185,87.0399
31.283,87.0755
31.38,87.1156
31.478,87.1798
31.576,87.2452
31.674,87.2292
31.772,87.319
31.87,87.5897
31.968,87.7658
32.066,87.7748
32.163,87.8119
32.261,87.8586
32.359,88.0076
32.457,88.1093
32.555,88.1123
32.653,88.1282
32.751,88.2588
32.849,88.435
32.946,88.6273
33.044,88.704
33.142,88.7931
33.24,88.9637
33.338,89.2071
33.436,89.7124
33.534,90.9945
33.632,92.5139
33.729,92.8831
33.827,92.3642
33.925,91.5464
34.023,90.7083
34.121,89.8534
34.219,89.2489
34.317,88.9985
34.415,88.8969
34.513,88.8422
34.611,88.2831
34.708,88.0168
34.806,87.8136
34.904,87.5012
35.002,87.092
35.1,86.8966
35.198,86.9201
35.296,87.0314
35.394,86.9034
35.491,86.5385
35.589,86.0797
35.687,85.7091
35.785,85.0244
35.883,82.5336
35.981,82.1684
36.079,82.8814
36.177,83.5653
36.275,84.0698
36.372,84.5803
36.47,85.1301
36.568,85.4905
36.666,85.685
36.764,85.7289
36.862,85.9582
36.96,86.41
37.058,86.7143
37.155,86.9904
37.253,87.2192
37.351,87.2985
37.449,87.2919
37.547,87.445
37.645,87.6526
37.743,87.7967
37.841,87.9304
37.938,88.0034
38.036,88.0471
38.134,88.1492
38.232,88.2531
38.33,88.3447
38.428,88.4053
38.526,88.4371
38.623,88.4789
38.721,88.475
38.819,88.6351
38.917,88.948
39.015,89.2131
39.113,89.3222
39.211,89.4438
39.309,89.5103
39.406,89.6828
39.504,89.8923
39.602,90.1005
39.7,90.2793
39.798,90.3025
39.896,90.4189
39.994,92.416
40.092,97.5671
40.189,98.9405
40.287,97.2628
40.385,95.8521
40.483,94.7071
40.581,93.8916
40.679,93.1644
40.777,92.2711
40.875,91.8114
40.973,91.6388
41.071,91.1824
41.169,90.4818
41.266,89.9583
41.364,89.6255
41.462,89.4407
41.56,89.2614
41.658,89.1512
41.756,89.2066
41.854,89.0672
41.952,89.0043
42.05,89.2052
42.148,89.4088
42.245,89.4559
42.343,89.459
42.441,89.4962
42.539,89.618
42.637,90.1437
42.735,90.5143
42.833,89.6573
42.931,88.5384
43.029,88.0043
43.126,87.8234
43.224,87.9911
43.322,87.833
43.42,87.3956
43.518,87.3504
43.616,87.4032
43.714,87.6867
43.812,87.6598
43.909,87.7134
44.007,88.0539
44.105,88.5065
44.203,88.6133
44.301,88.4777
44.399,88.501
44.497,88.5976
44.595,89.0439
44.693,89.4666
44.791,89.5612
44.888,89.6245
44.986,89.7455
45.084,89.993
45.182,90.3703
45.28,90.5963
45.378,90.6693
45.476,90.8641
45.574,91.2599
45.672,91.6307
45.77,91.7013
45.867,91.2797
45.965,90.8736
46.063,91.2917
46.161,91.8526
46.259,91.9197
46.357,91.7692
46.455,91.9285
46.553,92.1571
46.651,91.3338
46.749,90.3312
46.847,90.6873
46.944,92.2933
47.042,94.3769
47.14,94.9698
47.238,95.392
47.336,95.938
47.434,96.321
47.532,96.5394
47.63,96.6765
47.728,97.3192
47.826,98.322
47.924,98.3397
48.021,97.7436
48.119,97.7116
48.217,98.0092
48.315,98.2004
48.413,98.3488
48.511,98.4864
48.609,98.5008
48.707,98.4721
48.805,98.5838
48.903,98.6817
49.001,98.7082
49.098,98.745
49.196,98.8787
49.294,99.0967
49.392,99.3777
49.49,99.6632
49.588,100.0361
49.686,100.315
49.784,100.4864
49.882,100.6898
49.98,100.8902
50.078,101.0934
50.175,101.2775
50.273,101.4651
50.371,101.5955
50.469,101.7935
50.567,101.9346
50.665,102.0608
50.763,102.3115
50.861,102.4059
50.959,102.3747
