time,pressure,mean,ratio,start_blow,stop_blow,blowing
707.3000000000001,37.16542662812188,41.02837113242898,-3.7364099999999993,False,True,False
707.4,37.07488070845909,40.56751535315424,-3.378230000000002,False,True,False
707.5,37.008496219973736,40.11726703146959,-3.00694,False,True,False
707.6,36.96119688422845,39.68634165153531,-2.63588,False,True,False
707.7,36.92950891394226,39.2828550556596,-2.2762600000000006,False,True,False
707.8000000000001,36.912739619389505,38.91255553470027,-1.9343099999999964,False,False,False
707.9,36.90907973636135,38.57891687593826,-1.6151400000000038,False,False,False
708.0,36.91499344566109,38.2834071680459,-1.3235899999999958,False,False,False
708.1,36.928144211796166,38.02591268584434,-1.0618100000000013,False,False,False
708.2,36.946578029421055,37.80527550023993,-0.8305700000000016,False,False,False
708.3000000000001,36.96655230628661,37.61954160588712,-0.6315999999999988,False,False,False
708.4,36.98408666113338,37.46578516409392,-0.4659200000000041,False,False,False
708.5,36.99795079429938,37.340584080842454,-0.3314099999999982,False,False,False
708.6,37.00844452671063,37.24052660076751,-0.2244799999999998,False,False,False
708.7,37.01428586544201,37.16213893658811,-0.1430100000000038,False,False,False
708.8000000000001,37.014192817568414,37.101978316981146,-0.0849100000000007,False,False,False
708.9,37.0086202838052,37.05688111424433,-0.046680000000002,False,False,False
709.0,36.998085196783464,37.02400419890662,-0.0250699999999994,False,False,False
709.1,36.9829597479976,37.00071121454943,-0.0171700000000001,False,False,False
709.2,36.96396764313112,36.984541561848744,-0.0198999999999998,False,False,False
709.3000000000001,36.94159479885729,36.973344801059206,-0.0307099999999991,False,False,False
709.4,36.91659593681748,36.96543573180344,-0.0472400000000021,False,False,False
709.5,36.8900049222739,36.959511683851076,-0.0672300000000021,False,False,False
709.6,36.862710879352036,36.95459048520305,-0.08887,False,False,False
709.7,36.83545819104065,36.94988639826007,-0.1106800000000021,False,False,False
709.8000000000001,36.8087431126656,36.94468605599125,-0.1314900000000065,False,False,False
709.9,36.783868314457266,36.93842083250236,-0.1494900000000001,False,False,False
710.0,36.7623329010458,36.93079090686738,-0.1629399999999989,False,False,False
710.1,36.74483990080952,36.921620521991734,-0.1709899999999962,False,False,False
710.2,36.73273333858925,36.91093035518067,-0.1723599999999976,False,False,False
710.3000000000001,36.72870126406669,36.89904090466546,-0.1647600000000011,False,False,False
710.4,36.733973976903876,36.886531134992936,-0.1475599999999985,False,False,False
710.5,36.74365095575799,36.87382493092059,-0.1259099999999975,False,False,False
710.6,36.74943026257365,36.86087059918533,-0.1077900000000013,False,False,False
710.7,36.747445241270235,36.84752339865043,-0.0968000000000017,False,False,False
710.8000000000001,36.73888483689929,36.83376265201065,-0.0917699999999968,False,False,False
710.9,36.72753299632041,36.81970208444484,-0.0891500000000036,False,False,False
711.0,36.72600287573238,36.80610675624701,-0.0774799999999942,False,False,False
711.1,36.78528470986647,36.796223004340455,-0.0105799999999973,False,False,False
711.2,37.00900281395221,36.798466491959424,0.2036399999999929,False,False,False
711.3000000000001,37.468121699586476,36.82479904018745,0.6222500000000011,False,False,False
711.4,38.13666033273036,36.88579709065678,1.2098900000000017,False,False,False
711.5,38.94410910250237,36.98850126580294,1.8915500000000025,False,False,False
711.6,39.82906675098092,37.13681957631702,2.604059999999997,False,False,False
711.7,40.74524713037768,37.332313158744924,3.3011399999999966,False,False,False
711.8000000000001,41.65522431820128,37.57464083755012,3.946919999999999,True,False,True
711.9,42.53263475026583,37.86207605774476,4.517569999999999,True,False,True
712.0,43.36529949378271,38.19222025192056,5.003630000000001,True,False,True
712.1,44.14890733060857,38.5624267250063,5.403489999999998,True,False,True
712.2,44.87840265961131,38.969707606394245,5.715150000000001,True,False,True
712.3000000000001,45.544036131368436,39.41047538362459,5.932650000000002,True,False,True
712.4,46.13254325456603,39.880408499901385,6.047339999999998,True,False,True
712.5,46.625149036042686,40.37448237005035,6.045920000000002,True,False,True
712.6,47.0202406459894,40.88802392308641,5.931350000000002,True,False,True
712.7,47.33644833643084,41.41747666250759,5.725090000000002,True,False,True
712.8000000000001,47.58233251173798,41.959645944653744,5.438509999999994,True,False,True
712.9,47.76235946984349,42.51138881912778,5.078970000000005,True,False,True
713.0,47.884748439581784,43.06932454652237,4.657689999999995,True,False,True
713.1,47.95312828802317,43.6277151746323,4.183730000000004,True,False,True
713.2,47.96855355773508,44.175694779551975,3.668619999999997,True,False,True
713.3000000000001,47.94018429494052,44.699295841589155,3.1347299999999976,False,False,True
713.4,47.87842118417717,45.1863807825657,2.6038600000000045,False,False,True
713.5,47.79036687979627,45.628699357689335,2.0908599999999997,False,False,True
713.6,47.68595682696749,46.02153714136446,1.6099000000000032,False,False,True
713.7,47.575322905260315,46.36304351477175,1.1725700000000003,False,False,True
713.8000000000001,47.464585597026925,46.65350796018462,0.7845099999999974,False,False,True
713.9,47.351770219616526,46.8944605981911,0.4423300000000054,False,False,True
714.0,47.231924558423216,47.087793402221024,0.139409999999998,False,False,True
714.1,47.10357018612207,47.23553274818827,-0.1276399999999995,False,False,True
714.2,46.96615915412412,47.33991178505918,-0.3615100000000026,False,False,True
